group_,gen_sp,common,YearEndCDa,status,Latitude,Longitude,county_ori,WaterBody,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.782056,-88.233803,Gallatin,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,37.782056,-88.233803,Gallatin,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,37.782056,-88.233803,Gallatin,,,,,,,,,,,,,
Fishes,Menidia beryllina,Inland Silverside,1999,,37.8038064,-89.41259536,Jackson,Kinkaid Lake,,,,,,,,,,,,
Plants,Egeria densa,Brazilian Waterweed,1992,,37.809241,-89.111824,Williamson,Madison Lake,,,,,,,,,,,,
Fishes,Menidia beryllina,Inland Silverside,1999,,37.8172245,-89.48385181,Jackson,Kinkaid Lake,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.8283,-88.4233,Saline,,,,,,,,,,,,,
Mollusks,Rangia cuneata,Common Rangia or Wedge Clam,1989,,37.84388,-89.72387,Randolph,Mississippi River,,,,,,,,,,,,
Plants,Phragmites australis,Common Reed,1995,,37.85577582,-89.23543791,Jackson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.8898,-88.9447,Franklin,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.8979,-88.9462,Franklin,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.8995,-88.3669,Gallatin,,,,,,,,,,,,,
Fishes,Osmerus mordax,Rainbow Smelt,1987,,37.899832,-89.829798,Randolph,Mississippi River,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1971,,37.89992119,-89.83008038,Randolph,Mississippi River,,,,,,,,,,,,
Fishes,Salmo salar,Atlantic Salmon,1986,collected,37.902491,-89.83469,Randolph,Mississippi River,,,,,,,,,,,,
